id;message;association_to_offender;time;case_total_reports;allied_report_count;enemy_report_count;most_common_report_reason;chatlog_id;champion_name;label
7429;ci sei?;ally;00:14:13;2;0;1;Negative Attitude;10038;Zyra;2
7430;si ci killano;offender;00:14:20;2;0;1;Negative Attitude;10038;Jinx;2
7431;fu;ally;00:14:20;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;1
7432;fail;ally;00:14:22;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7433;quando jarvan ci degna;offender;00:14:24;2;0;1;Negative Attitude;10038;Jinx;2
7434;sry;ally;00:14:24;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7435;my faukt;ally;00:14:28;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7436;noooooo;enemy;00:14:32;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7437;gj;enemy;00:14:41;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7438;ho tirato di tutto;ally;00:14:43;2;0;1;Negative Attitude;10038;Zyra;2
7439;you need to ping ahrie;ally;00:14:54;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;0
7440;push hard mundo;enemy;00:15:02;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7441;Dont fuuck with me!;ally;00:15:20;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7442;calm yo tits;enemy;00:15:33;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;1
7443;ty yasou;ally;00:15:36;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7444;xD;ally;00:15:40;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7445;mad?;ally;00:15:44;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7446;np;ally;00:15:45;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7447;happy;enemy;00:15:47;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7448;yes ahri ur boobs;enemy;00:15:48;2.0;0.0;1.0;Negative Attitude;10038.0;Jinx;1
7449;ss;ally;00:16:01;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7450;:Q____;enemy;00:16:07;2.0;0.0;1.0;Negative Attitude;10038.0;Jinx;0
7451;yeas, run, puny botlane, run!;enemy;00:16:30;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7452;sorry;enemy;00:16:57;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7453;ahri;ally;00:17:05;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7454;gj;enemy;00:17:27;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7455;3 bot;offender;00:17:27;2.0;0.0;1.0;Negative Attitude;10038.0;Jinx;0
7456;doublr;enemy;00:17:29;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7457;good job;enemy;00:17:35;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7458;now push hard;enemy;00:17:38;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7459;sry;ally;00:17:39;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7460;i hate mundo..;ally;00:17:43;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7461;ikr;ally;00:17:48;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;0
7462;nd this bot;ally;00:17:53;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;0
7463;this is why i hate premades;ally;00:18:01;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;0
7464;nice feed bot noobs;ally;00:18:15;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;1
7465;3 bot;offender;00:18:16;2.0;0.0;1.0;Negative Attitude;10038.0;Jinx;0
7466;ok ce ne andiamo afk?;offender;00:18:24;2;0;1;Negative Attitude;10038;Jinx;2
7467;report yasou, and bot lane pls;ally;00:18:31;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7468;did you mean honor enemy botlane? :D;enemy;00:18:55;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7469;that hit box!!!!!!;ally;00:19:09;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7470;;;;;;;;;;0
7471;fucking loads of you to kill me XD;enemy;00:19:25;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7472;i fucked up;ally;00:19:34;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;0
7473;thx botlane 4 fed me;enemy;00:19:45;2.0;0.0;1.0;Negative Attitude;10038.0;Jinx;0
7474;fuck our bot lane for feeding :D;ally;00:19:59;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;1
7475;report them pls, jinx;ally;00:20:06;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7476;tbf, top and mid have played well too;enemy;00:20:16;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7477;why wont you surrend?;ally;00:20:52;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;1
7478;not funny ^^;ally;00:21:01;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7479;stop flame or i go afk ^^;offender;00:21:07;2.0;0.0;1.0;Negative Attitude;10038.0;Jinx;0
7480;but this bot tho;ally;00:21:12;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;0
7481;ok bye;offender;00:21:17;2.0;0.0;1.0;Negative Attitude;10038.0;Jinx;0
7482;jinx that would be great;ally;00:21:23;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;0
7483;ahah XD;ally;00:21:25;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7484;second one :D;ally;00:21:35;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7485;OMG;ally;00:21:37;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7486;;;;;;;;;;0
7487;that was a bit late, guys xD;enemy;00:21:43;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7488;team? place ur totems pls!;ally;00:21:44;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7489;ahah for what we def man;ally;00:21:54;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7490;that noob j4;ally;00:22:04;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7491;fail ;;;;;;;;;0
7492;j4 is not noob ahah;ally;00:22:25;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7493;why go solo vs 2?;ally;00:22:26;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7494;sure he is;ally;00:22:32;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7495;i could kill her :D;ally;00:22:33;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7496;yes but u already die;ally;00:22:43;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7497;it was not a solo;ally;00:22:43;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;0
7498;jhust let play as team;ally;00:22:47;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7499;all mid;ally;00:22:49;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7500;it was a duo till zyra died;ally;00:22:53;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;0
7501;we can win;ally;00:22:54;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7502;gj;ally;00:23:22;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7503;gj;ally;00:23:24;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7504;thanks for no help at all;enemy;00:23:27;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7505;I ultid them;enemy;00:23:31;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7506;gj;enemy;00:23:40;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7507;you should've killed em all;enemy;00:23:41;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7508;just to lucky wtf!!!! i did ignite;ally;00:23:55;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7509;sorry my phone started ringing &gt;;;;;;;;;0
7510;DEMACIAAAAA;enemy;00:24:01;2.0;0.0;1.0;Negative Attitude;10038.0;Jinx;0
7511;ah ok ^^;enemy;00:24:05;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7512;didnt mean to leave you die at mid;enemy;00:24:07;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7513;np;enemy;00:24:14;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7514;dmg spike now though xD;enemy;00:24:20;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7515;why you focus mundo?? :D;ally;00:24:51;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7516;you are welcome;ally;00:24:59;2.0;0.0;1.0;Negative Attitude;10038.0;Zyra;0
7517;fak mundo;ally;00:25:01;2.0;0.0;1.0;Negative Attitude;10038.0;Jarvan IV;0
7518;lich bane sona op;enemy;00:25:51;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7519;dmg spike XD;enemy;00:26:42;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7520;MINIONS GUYS;ally;00:27:10;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7521;gg;ally;00:27:34;2.0;0.0;1.0;Negative Attitude;10038.0;Ahri;0
7522;gg wp;enemy;00:27:34;2.0;0.0;1.0;Negative Attitude;10038.0;Sona;0
7523;gj;enemy;00:27:35;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7524;wp;enemy;00:27:36;2.0;0.0;1.0;Negative Attitude;10038.0;Talon;0
7525;wow :);ally;00:27:38;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7526;gg wp;ally;00:27:43;2.0;0.0;1.0;Negative Attitude;10038.0;Yasuo;0
7527;mundo immortale;ally;00:27:47;2.0;0.0;1.0;Negative Attitude;10038.0;Zyra;0
7528;gg;enemy;00:27:54;2.0;0.0;1.0;Negative Attitude;10038.0;Dr. Mundo;0
7529;gl hf;enemy;00:00:35;7.0;0.0;2.0;Negative Attitude;10039.0;Ezreal;0
7530;fcking tiger;enemy;00:01:37;7.0;0.0;2.0;Negative Attitude;10039.0;Nasus;1
7531;Grrrr;offender;00:01:49;7.0;0.0;2.0;Negative Attitude;10039.0;Rengar;0
7532;CHAT;enemy;00:14:51;7.0;0.0;2.0;Negative Attitude;10039.0;Swain;0
7533;rengar got carried;enemy;00:20:47;7.0;0.0;2.0;Negative Attitude;10039.0;Nasus;0
7534;ok;ally;00:20:52;7.0;0.0;2.0;Negative Attitude;10039.0;Annie;0
7535;y 4 4 3;offender;00:20:53;7.0;0.0;2.0;Negative Attitude;10039.0;Rengar;0
7536;op;offender;00:20:54;7.0;0.0;2.0;Negative Attitude;10039.0;Rengar;0
7537;need 4 for me?;enemy;00:21:49;7.0;0.0;2.0;Negative Attitude;10039.0;Nasus;0
7538;WTF;enemy;00:25:03;7.0;0.0;2.0;Negative Attitude;10039.0;Ezreal;0
7539;BG;enemy;00:28:41;7.0;0.0;2.0;Negative Attitude;10039.0;Nasus;0
7540;gg wp;enemy;00:28:44;7.0;0.0;2.0;Negative Attitude;10039.0;Ezreal;0
7541;gg;ally;00:28:47;7.0;0.0;2.0;Negative Attitude;10039.0;Nocturne;0
7542;gg easy;offender;00:28:49;7.0;0.0;2.0;Negative Attitude;10039.0;Rengar;0
7543;gg;ally;00:28:50;7.0;0.0;2.0;Negative Attitude;10039.0;Annie;0
7544;gg;ally;00:28:50;7.0;0.0;2.0;Negative Attitude;10039.0;Quinn;0
7545;dafaq ww;enemy;00:01:13;7.0;1.0;1.0;Negative Attitude;1004.0;Vayne;0
7546;kha ?;ally;00:01:26;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;0
7547;guys i have worst day ever;enemy;00:01:32;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;0
7548;same;enemy;00:01:35;7.0;1.0;1.0;Negative Attitude;1004.0;Vayne;0
7549;i lost every1 game today;enemy;00:01:41;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;0
7550;omfg;ally;00:01:42;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7551;i lost series twice cos of afkers;enemy;00:01:47;7.0;1.0;1.0;Negative Attitude;1004.0;Vayne;0
7552;and now from promotion i have 0 points;enemy;00:01:49;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;0
7553;diana go mid after blue;ally;00:01:53;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7554;maybe its not his fault -.-;enemy;00:02:01;7.0;1.0;1.0;Negative Attitude;1004.0;Nidalee;0
7555;tought of that?;enemy;00:02:05;7.0;1.0;1.0;Negative Attitude;1004.0;Nidalee;0
7556;ss mid guys;enemy;00:02:21;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;0
7557;great start again;enemy;00:04:25;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;0
7558;i dont have any1 to gank mid;enemy;00:04:30;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;0
7559;and they gank me;enemy;00:04:32;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;0
7560;vai te rir po caralho;enemy;00:05:17;7;1;1;Negative Attitude;1004;Nidalee;2
7561;sorry pc crashed;enemy;00:05:58;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7562;i am really sorry;enemy;00:06:09;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7563;gj;ally;00:06:33;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;0
7564;damn;enemy;00:06:34;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7565;sry;enemy;00:06:35;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7566;need next blue pls;offender;00:06:52;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7567;dont push ffs noob;enemy;00:08:35;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;1
7568;&gt;;;;;;;;;0
7569;do not talk respectless;enemy;00:08:50;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7570;ward pls;enemy;00:10:09;7.0;1.0;1.0;Negative Attitude;1004.0;Vayne;0
7571;omw to top;enemy;00:11:12;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7572;i will ult;enemy;00:11:14;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7573;pls throw him  ok?;enemy;00:11:18;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7574;dont take farm pelase kha when im bot;ally;00:11:19;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7575;ok;enemy;00:11:25;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7576;singed ok?;enemy;00:11:26;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7577;k;enemy;00:11:29;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7578;omg;ally;00:11:40;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7579;cya tower;ally;00:11:44;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7580;pls nida next b;enemy;00:11:47;7.0;1.0;1.0;Negative Attitude;1004.0;Vayne;0
7581;#NAME?;enemy;00:11:49;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7582;go base;enemy;00:11:51;7.0;1.0;1.0;Negative Attitude;1004.0;Vayne;0
7583;i am so retarted;enemy;00:11:52;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7584;did not had ult;enemy;00:11:54;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7585;gg;enemy;00:11:54;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7586;i am pressing r like a faggot;enemy;00:12:05;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7587;nothing happens;enemy;00:12:08;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7588;xD;enemy;00:12:10;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7589;sorry dude;enemy;00:12:19;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7590;b;enemy;00:12:21;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7591;why?;enemy;00:12:27;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7592;why do not b;enemy;00:12:29;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7593;damn;enemy;00:12:29;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7594;nice teemo;ally;00:12:32;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7595;is my counter :/;enemy;00:12:38;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7596;i told you i'm not bad :);ally;00:12:43;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;0
7597;teemo doesnt counter singed;enemy;00:12:52;7.0;1.0;1.0;Negative Attitude;1004.0;Nidalee;0
7598;dont get lame excuses;enemy;00:12:56;7.0;1.0;1.0;Negative Attitude;1004.0;Nidalee;0
7599;dat dmg;enemy;00:12:58;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7600;...;enemy;00:12:59;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7601;sorry;enemy;00:13:02;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7602;kha;ally;00:13:44;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7603;why u wait so long to gank;ally;00:13:49;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7604;nice;ally;00:14:07;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;0
7605;u too;offender;00:14:12;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7606;great team i dont know who is worse;enemy;00:14:17;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;0
7607;hahaha;enemy;00:14:18;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;0
7608;thanks for the help kha;ally;00:14:32;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7609;u cuold have helped me earlier;ally;00:14:38;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7610;thanks!;ally;00:14:39;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7611;shut upa she;offender;00:14:54;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;1
7612;i m khazix;offender;00:14:57;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7613;u dotn know kha?;offender;00:15:01;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7614;you could saved me before;ally;00:15:01;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7615;noob;offender;00:15:02;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;1
7616;.............;ally;00:15:03;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7617;no;offender;00:15:11;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7618;u dont know how to play in team;ally;00:15:14;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;1
7619;suyre lol;offender;00:15:21;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7620;look at ur score and just shut up pls;offender;00:15:30;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;1
7621;why not take the lantern diana?;ally;00:15:30;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7622;kha missing;enemy;00:15:54;7.0;1.0;1.0;Negative Attitude;1004.0;Vayne;0
7623;help me top pls;enemy;00:16:12;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7624;anybody;enemy;00:16:19;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7625;this time i will rly ult;enemy;00:16:26;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7626;gj;enemy;00:16:45;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7627;omf diana;ally;00:16:58;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;0
7628;gj kayler;enemy;00:17:22;7.0;1.0;1.0;Negative Attitude;1004.0;Warwick;0
7629;0 ganks;ally;00:17:27;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7630;gg kayle;ally;00:17:32;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7631;7 kills.......;ally;00:17:35;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7632;don't feed kayle pls;ally;00:17:36;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;1
7633;fck men;ally;00:18:04;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;1
7634;how many do i need to ping??;ally;00:18:08;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7635;omfg;ally;00:18:32;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7636;gg wp;ally;00:18:34;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7637;ty for no help;ally;00:18:39;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7638;stop;ally;00:19:19;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;0
7639;omfg;ally;00:19:20;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7640;thanks team;ally;00:19:21;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7641;gg team;ally;00:19:22;7.0;1.0;1.0;Negative Attitude;1004.0;Thresh;0
7642;noob ashe;offender;00:19:29;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;1
7643;omfg;ally;00:19:29;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7644;xDD;offender;00:19:30;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7645;thanks kha;ally;00:19:34;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7646;ataking while kayle ult;offender;00:19:38;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7647;you're throwing;ally;00:19:41;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;0
7648;kha reported;ally;00:19:41;7.0;1.0;1.0;Negative Attitude;1004.0;Thresh;0
7649;what a noob;offender;00:19:42;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;1
7650;lol;ally;00:19:47;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7651;if i had to run;ally;00:19:50;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7652;that botlane;offender;00:19:51;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7653;iw ould have died to;ally;00:19:52;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7654;so dw;ally;00:19:53;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7655;listen to team pelase;ally;00:20:05;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7656;kayle is fed emen fck;ally;00:20:09;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7657;singed omfg;enemy;00:20:20;7.0;1.0;1.0;Negative Attitude;1004.0;Kayle;0
7658;i canÃ¯Â¿Â½t vs teemo;enemy;00:20:27;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7659;i need teemo;offender;00:20:31;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7660;me too;ally;00:20:35;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;0
7661;fck you;ally;00:20:38;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;1
7662;need more;offender;00:20:43;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7663;i will report;ally;00:20:44;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;0
7664;i dont understand how u cant play vs teemo with singed;enemy;00:20:49;7.0;1.0;1.0;Negative Attitude;1004.0;Nidalee;0
7665;shut up with u report;offender;00:20:50;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7666;dont take farm diana omfg;ally;00:20:51;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7667;can i farm that;enemy;00:20:52;7.0;1.0;1.0;Negative Attitude;1004.0;Vayne;0
7668;you noob;ally;00:20:57;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;1
7669;uau qye pro;enemy;00:21:31;7.0;1.0;1.0;Negative Attitude;1004.0;Nidalee;0
7670;srry;enemy;00:21:39;7.0;1.0;1.0;Negative Attitude;1004.0;Nidalee;0
7671;OMFG THIS TEAM MEN;ally;00:21:48;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;1
7672;LISTEN TO FCKING PINGS;ally;00:21:52;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;1
7673;split more;ally;00:21:58;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7674;ffs;ally;00:22:00;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;1
7675;i need to kill...;enemy;00:22:01;7.0;1.0;1.0;Negative Attitude;1004.0;Singed;0
7676;what a team jezus crist;ally;00:22:03;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7677;l2p please;ally;00:22:07;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7678;KHA WTF UR DOING LOOK UR LANE;ally;00:22:15;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;1
7679;omfg;ally;00:22:22;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7680;khazix;ally;00:22:23;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7681;wtf ur doing;ally;00:22:26;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7682;shut up noob;offender;00:22:30;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;1
7683;ur so abd ashe shut up and pla;offender;00:22:36;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;1
7684;ur the noob losing ur lane so ahrd;ally;00:22:36;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;1
7685;lol this teeemo;enemy;00:22:44;7.0;1.0;1.0;Negative Attitude;1004.0;Vayne;0
7686;look ur lane and then talking about me?;ally;00:22:46;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7687;lol singed;ally;00:22:48;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;0
7688;look ur socre;offender;00:22:53;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;0
7689;and shut up;offender;00:22:55;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;1
7690;so funny brianed;ally;00:22:56;7.0;1.0;1.0;Negative Attitude;1004.0;Teemo;1
7691;he just dont give a phuck;enemy;00:22:56;7.0;1.0;1.0;Negative Attitude;1004.0;Vayne;0
7692;KHA;ally;00:23:07;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7693;WATCH TOWERS;ally;00:23:09;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7694;POUSH MID NOW;ally;00:23:12;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7695;KHA;ally;00:23:22;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7696;PUSH THEN;ally;00:23:24;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7697;OMFG;ally;00:23:25;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;0
7698;SHUT UP ASHE NOOB;offender;00:23:27;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;1
7699;ur losing the game;ally;00:23:31;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;1
7700;fcking noob;ally;00:23:33;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;1
7701;look how they push;ally;00:23:38;7.0;1.0;1.0;Negative Attitude;1004.0;Ashe;1
7702;shut up feeder;offender;00:23:39;7.0;1.0;1.0;Negative Attitude;1004.0;Kha'Zix;1
